points,surcharge_percent,what_counts,locator,url
1,40,"At fault auto accident that results in total damage to all property, including the insured's own, of $2,300 or less (also: all other moving violations; speeding 10 mph or less over a limit under 55 mph)","Table 'Safe Driver Incentive Plan (Insurance Points)', row 'SDIP Points 1', column '% of Rate Increase'",https://www.ncdoi.gov/consumers/auto-and-vehicle-insurance/safe-driver-incentive-plan
2,55,"At fault auto accident that results in total damage to all property, including the insured's own, in excess of $2,300 but less than $3,850 (also: illegal passing, following too closely, some speeding)","Table 'Safe Driver Incentive Plan (Insurance Points)', row 'SDIP Points 2', column '% of Rate Increase'",https://www.ncdoi.gov/consumers/auto-and-vehicle-insurance/safe-driver-incentive-plan
3,70,"At-fault accident resulting in death or total bodily injury (to all persons) of more than $1,800; OR resulting in total property damage (including damage to insured's own property) of $3,850 or more","Table 'Safe Driver Incentive Plan (Insurance Points)', row 'SDIP Points 3', column '% of Rate Increase'",https://www.ncdoi.gov/consumers/auto-and-vehicle-insurance/safe-driver-incentive-plan
4,90,"Reckless driving; hit-and-run with property damage only; passing a stopped school bus; some speeding; driving under 21 after consuming alcohol or drugs","Table 'Safe Driver Incentive Plan (Insurance Points)', row 'SDIP Points 4', column '% of Rate Increase'",https://www.ncdoi.gov/consumers/auto-and-vehicle-insurance/safe-driver-incentive-plan
8,200,"Driving during revocation or suspension; aggressive driving","Table 'Safe Driver Incentive Plan (Insurance Points)', row 'SDIP Points 8', column '% of Rate Increase'",https://www.ncdoi.gov/consumers/auto-and-vehicle-insurance/safe-driver-incentive-plan
10,260,"Highway racing; speeding to elude arrest","Table 'Safe Driver Incentive Plan (Insurance Points)', row 'SDIP Points 10', column '% of Rate Increase'",https://www.ncdoi.gov/consumers/auto-and-vehicle-insurance/safe-driver-incentive-plan
12,340,"Manslaughter or negligent homicide; driving while impaired; blood-alcohol .08 or more; hit-and-run with injury; and others","Table 'Safe Driver Incentive Plan (Insurance Points)', row 'SDIP Points 12', column '% of Rate Increase'",https://www.ncdoi.gov/consumers/auto-and-vehicle-insurance/safe-driver-incentive-plan
