source_id,profile_id,description,driver_age,gender,marital,years_licensed,incidents,violations,coverage,liability_limits,comp_deductible,coll_deductible,vehicle,annual_miles,good_student,driver_training,other
dc-2024,dc-married-25,"Column ""MARRIED COUPLE AGE 25"". The vehicle used in our comparison is a three year old Toyota Camry Model, 4-door sedan with a 4-cylinder engine. Our comparison assumes that each of the sample drivers has a clean driving record, mid-range insurance score, and drives to work between 3-15 miles each way. The coverages quoted provide for the following minimum limits of insurance for required coverages: Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Physical Damage: $10,000 Per Accident/$500 Deductible; Uninsured Motorist Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Uninsured Motorist Physical Damage: $5,000 Per Accident/$200 deductible",25,,married couple,,0,0,minimum required coverages as listed (source does not mention comprehensive or collision),"BI $25,000/$50,000; ""Physical Damage"" $10,000 per accident (as printed; appears to mean property damage liability); UMBI $25,000/$50,000; UMPD $5,000 ($200 deductible)",,,"three year old Toyota Camry Model, 4-door sedan, 4-cylinder",,,,clean driving record; mid-range insurance score; commute 3-15 miles each way; 6-month policy premiums (annualised x2)
dc-2024,dc-married-39,"Column ""MARRIED COUPLE AGE 39"". The vehicle used in our comparison is a three year old Toyota Camry Model, 4-door sedan with a 4-cylinder engine. Our comparison assumes that each of the sample drivers has a clean driving record, mid-range insurance score, and drives to work between 3-15 miles each way. The coverages quoted provide for the following minimum limits of insurance for required coverages: Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Physical Damage: $10,000 Per Accident/$500 Deductible; Uninsured Motorist Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Uninsured Motorist Physical Damage: $5,000 Per Accident/$200 deductible",39,,married couple,,0,0,minimum required coverages as listed (source does not mention comprehensive or collision),"BI $25,000/$50,000; ""Physical Damage"" $10,000 per accident (as printed; appears to mean property damage liability); UMBI $25,000/$50,000; UMPD $5,000 ($200 deductible)",,,"three year old Toyota Camry Model, 4-door sedan, 4-cylinder",,,,clean driving record; mid-range insurance score; commute 3-15 miles each way; 6-month policy premiums (annualised x2)
dc-2024,dc-married-66,"Column ""MARRIED COUPLE AGE 66"". The vehicle used in our comparison is a three year old Toyota Camry Model, 4-door sedan with a 4-cylinder engine. Our comparison assumes that each of the sample drivers has a clean driving record, mid-range insurance score, and drives to work between 3-15 miles each way. The coverages quoted provide for the following minimum limits of insurance for required coverages: Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Physical Damage: $10,000 Per Accident/$500 Deductible; Uninsured Motorist Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Uninsured Motorist Physical Damage: $5,000 Per Accident/$200 deductible",66,,married couple,,0,0,minimum required coverages as listed (source does not mention comprehensive or collision),"BI $25,000/$50,000; ""Physical Damage"" $10,000 per accident (as printed; appears to mean property damage liability); UMBI $25,000/$50,000; UMPD $5,000 ($200 deductible)",,,"three year old Toyota Camry Model, 4-door sedan, 4-cylinder",,,,clean driving record; mid-range insurance score; commute 3-15 miles each way; 6-month policy premiums (annualised x2)
dc-2024,dc-single-female-25,"Column ""SINGLE FEMALE AGE 25"". The vehicle used in our comparison is a three year old Toyota Camry Model, 4-door sedan with a 4-cylinder engine. Our comparison assumes that each of the sample drivers has a clean driving record, mid-range insurance score, and drives to work between 3-15 miles each way. The coverages quoted provide for the following minimum limits of insurance for required coverages: Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Physical Damage: $10,000 Per Accident/$500 Deductible; Uninsured Motorist Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Uninsured Motorist Physical Damage: $5,000 Per Accident/$200 deductible",25,female,single,,0,0,minimum required coverages as listed (source does not mention comprehensive or collision),"BI $25,000/$50,000; ""Physical Damage"" $10,000 per accident (as printed; appears to mean property damage liability); UMBI $25,000/$50,000; UMPD $5,000 ($200 deductible)",,,"three year old Toyota Camry Model, 4-door sedan, 4-cylinder",,,,clean driving record; mid-range insurance score; commute 3-15 miles each way; 6-month policy premiums (annualised x2)
dc-2024,dc-single-female-39,"Column ""SINGLE FEMALE AGE 39"". The vehicle used in our comparison is a three year old Toyota Camry Model, 4-door sedan with a 4-cylinder engine. Our comparison assumes that each of the sample drivers has a clean driving record, mid-range insurance score, and drives to work between 3-15 miles each way. The coverages quoted provide for the following minimum limits of insurance for required coverages: Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Physical Damage: $10,000 Per Accident/$500 Deductible; Uninsured Motorist Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Uninsured Motorist Physical Damage: $5,000 Per Accident/$200 deductible",39,female,single,,0,0,minimum required coverages as listed (source does not mention comprehensive or collision),"BI $25,000/$50,000; ""Physical Damage"" $10,000 per accident (as printed; appears to mean property damage liability); UMBI $25,000/$50,000; UMPD $5,000 ($200 deductible)",,,"three year old Toyota Camry Model, 4-door sedan, 4-cylinder",,,,clean driving record; mid-range insurance score; commute 3-15 miles each way; 6-month policy premiums (annualised x2)
dc-2024,dc-single-female-66,"Column ""SINGLE FEMALE AGE 66"". The vehicle used in our comparison is a three year old Toyota Camry Model, 4-door sedan with a 4-cylinder engine. Our comparison assumes that each of the sample drivers has a clean driving record, mid-range insurance score, and drives to work between 3-15 miles each way. The coverages quoted provide for the following minimum limits of insurance for required coverages: Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Physical Damage: $10,000 Per Accident/$500 Deductible; Uninsured Motorist Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Uninsured Motorist Physical Damage: $5,000 Per Accident/$200 deductible",66,female,single,,0,0,minimum required coverages as listed (source does not mention comprehensive or collision),"BI $25,000/$50,000; ""Physical Damage"" $10,000 per accident (as printed; appears to mean property damage liability); UMBI $25,000/$50,000; UMPD $5,000 ($200 deductible)",,,"three year old Toyota Camry Model, 4-door sedan, 4-cylinder",,,,clean driving record; mid-range insurance score; commute 3-15 miles each way; 6-month policy premiums (annualised x2)
dc-2024,dc-single-male-25,"Column ""SINGLE MALE AGE 25"". The vehicle used in our comparison is a three year old Toyota Camry Model, 4-door sedan with a 4-cylinder engine. Our comparison assumes that each of the sample drivers has a clean driving record, mid-range insurance score, and drives to work between 3-15 miles each way. The coverages quoted provide for the following minimum limits of insurance for required coverages: Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Physical Damage: $10,000 Per Accident/$500 Deductible; Uninsured Motorist Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Uninsured Motorist Physical Damage: $5,000 Per Accident/$200 deductible",25,male,single,,0,0,minimum required coverages as listed (source does not mention comprehensive or collision),"BI $25,000/$50,000; ""Physical Damage"" $10,000 per accident (as printed; appears to mean property damage liability); UMBI $25,000/$50,000; UMPD $5,000 ($200 deductible)",,,"three year old Toyota Camry Model, 4-door sedan, 4-cylinder",,,,clean driving record; mid-range insurance score; commute 3-15 miles each way; 6-month policy premiums (annualised x2)
dc-2024,dc-single-male-39,"Column ""SINGLE MALE AGE 39"". The vehicle used in our comparison is a three year old Toyota Camry Model, 4-door sedan with a 4-cylinder engine. Our comparison assumes that each of the sample drivers has a clean driving record, mid-range insurance score, and drives to work between 3-15 miles each way. The coverages quoted provide for the following minimum limits of insurance for required coverages: Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Physical Damage: $10,000 Per Accident/$500 Deductible; Uninsured Motorist Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Uninsured Motorist Physical Damage: $5,000 Per Accident/$200 deductible",39,male,single,,0,0,minimum required coverages as listed (source does not mention comprehensive or collision),"BI $25,000/$50,000; ""Physical Damage"" $10,000 per accident (as printed; appears to mean property damage liability); UMBI $25,000/$50,000; UMPD $5,000 ($200 deductible)",,,"three year old Toyota Camry Model, 4-door sedan, 4-cylinder",,,,clean driving record; mid-range insurance score; commute 3-15 miles each way; 6-month policy premiums (annualised x2)
dc-2024,dc-single-male-66,"Column ""SINGLE MALE AGE 66"". The vehicle used in our comparison is a three year old Toyota Camry Model, 4-door sedan with a 4-cylinder engine. Our comparison assumes that each of the sample drivers has a clean driving record, mid-range insurance score, and drives to work between 3-15 miles each way. The coverages quoted provide for the following minimum limits of insurance for required coverages: Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Physical Damage: $10,000 Per Accident/$500 Deductible; Uninsured Motorist Bodily Injury: $25,000 Per Person Per Accident/$50,000 For All Persons Per Accident/$500 Deductible; Uninsured Motorist Physical Damage: $5,000 Per Accident/$200 deductible",66,male,single,,0,0,minimum required coverages as listed (source does not mention comprehensive or collision),"BI $25,000/$50,000; ""Physical Damage"" $10,000 per accident (as printed; appears to mean property damage liability); UMBI $25,000/$50,000; UMPD $5,000 ($200 deductible)",,,"three year old Toyota Camry Model, 4-door sedan, 4-cylinder",,,,clean driving record; mid-range insurance score; commute 3-15 miles each way; 6-month policy premiums (annualised x2)
