measure,percent,locator,url
largest surcharge,25,"Insurance Journal, 'New ISO Symbols Rate Cars By Make and Model for Liability, No-Fault/Medical Payments Insurance', 1 April 2004, paragraph 3: 'ISO's new rating plan provides surcharges of up to 25 percent and discounts of up to 20 percent against the insurance rates of nearly 300 makes and models of vehicles.'",https://www.insurancejournal.com/news/national/2004/04/01/40773.htm
largest discount,20,"Same article and sentence.",https://www.insurancejournal.com/news/national/2004/04/01/40773.htm
