source_id,state,data_year,url,locator,territory,carrier,profile_id,annual_premium
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'American Economy Insurance Company' / 'Plan 2' = $5,228 (6-month, x2)",Alamosa (81101),American Economy Insurance Company,co-A-P2,10456
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'American Economy Insurance Company' / 'Plan 3' = $5,527 (6-month, x2)",Alamosa (81101),American Economy Insurance Company,co-A-P3,11054
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'American Family Connect Property and Casualty Insurance Company' / 'Plan 1' = $1,138 (6-month, x2)",Alamosa (81101),American Family Connect Property and Casualty Insurance Company,co-A-P1,2276
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'American Family Connect Property and Casualty Insurance Company' / 'Plan 2' = $1,410 (6-month, x2)",Alamosa (81101),American Family Connect Property and Casualty Insurance Company,co-A-P2,2820
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'American Family Connect Property and Casualty Insurance Company' / 'Plan 3' = $1,466 (6-month, x2)",Alamosa (81101),American Family Connect Property and Casualty Insurance Company,co-A-P3,2932
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'American Family Insurance Company' / 'Plan 1' = $1,934 (6-month, x2)",Alamosa (81101),American Family Insurance Company,co-A-P1,3868
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'American Family Insurance Company' / 'Plan 2' = $2,186 (6-month, x2)",Alamosa (81101),American Family Insurance Company,co-A-P2,4372
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'American Family Insurance Company' / 'Plan 3' = $2,283 (6-month, x2)",Alamosa (81101),American Family Insurance Company,co-A-P3,4566
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Amica Mutual Insurance Company' / 'Plan 1' = $1,275 (6-month, x2)",Alamosa (81101),Amica Mutual Insurance Company,co-A-P1,2550
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Amica Mutual Insurance Company' / 'Plan 2' = $1,432 (6-month, x2)",Alamosa (81101),Amica Mutual Insurance Company,co-A-P2,2864
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Amica Mutual Insurance Company' / 'Plan 3' = $1,434 (6-month, x2)",Alamosa (81101),Amica Mutual Insurance Company,co-A-P3,2868
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Amica Property and Casualty Insurance Company' / 'Plan 1' = $1,706 (6-month, x2)",Alamosa (81101),Amica Property and Casualty Insurance Company,co-A-P1,3412
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Amica Property and Casualty Insurance Company' / 'Plan 2' = $1,917 (6-month, x2)",Alamosa (81101),Amica Property and Casualty Insurance Company,co-A-P2,3834
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Amica Property and Casualty Insurance Company' / 'Plan 3' = $1,920 (6-month, x2)",Alamosa (81101),Amica Property and Casualty Insurance Company,co-A-P3,3840
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Arizona Auto Insurance Company' / 'Plan 1' = $1,997 (6-month, x2)",Alamosa (81101),Arizona Auto Insurance Company,co-A-P1,3994
